DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,ECON05,Angus,2015-16,20.10265184,235,116900
Real,ECON05,Angus,2016-17,21.36972194,249,116520
Real,ECON05,Angus,2017-18,17.45786034,203,116280
Real,ECON05,Angus,2018-19,14.82247501,172,116040
Real,ECON05,Angus,2019-20,16.78141136,195,116200
Real,ECON05,Angus,2020-21,18.64962873,216,115820
Real,ECON05,Angus,2021-22,19.46262487,226,116120
Real,ECON05,Angus,2022-23,15.75955908,183,116120
Real,ECON05,Angus,2023-24,12.74543576,148,116120
Real,ECON05,Argyll & Bute,2014-15,12.77809469,112,87650
Real,ECON05,Argyll & Bute,2015-16,13.35021291,116,86890
Real,ECON05,Argyll & Bute,2016-17,11.93618731,104,87130
Real,ECON05,Argyll & Bute,2017-18,12.44096302,108,86810
Real,ECON05,Argyll & Bute,2018-19,13.44771621,116,86260
Real,ECON05,Argyll & Bute,2019-20,16.18725981,139,85870
Real,ECON05,Argyll & Bute,2020-21,11.00316048,94,85430
Real,ECON05,Argyll & Bute,2021-22,15.4256553,133,86220
Real,ECON05,Argyll & Bute,2022-23,13.56993737,117,86220
Real,ECON05,Argyll & Bute,2023-24,7.306889353,63,86220
Real,ECON05,Clackmannanshire,2014-15,21.48857199,110,51190
Real,ECON05,Clackmannanshire,2015-16,20.63862928,106,51360
Real,ECON05,Clackmannanshire,2016-17,21.42161636,110,51350
Real,ECON05,Clackmannanshire,2017-18,21.76870748,112,51450
Real,ECON05,Clackmannanshire,2018-19,22.95719844,118,51400
Real,ECON05,Clackmannanshire,2019-20,20.37252619,105,51540
Real,ECON05,Clackmannanshire,2020-21,17.93721973,92,51290
Real,ECON05,Clackmannanshire,2021-22,15.71594878,81,51540
Real,ECON05,Clackmannanshire,2022-23,17.26814125,89,51540
Real,ECON05,Clackmannanshire,2023-24,9.895227008,51,51540
Real,ECON05,Dumfries & Galloway,2014-15,26.60709523,399,149960
Real,ECON05,Dumfries & Galloway,2015-16,22.98389791,344,149670
Real,ECON05,Dumfries & Galloway,2016-17,25.74906367,385,149520
Real,ECON05,Dumfries & Galloway,2017-18,25.26809651,377,149200
Real,ECON05,Dumfries & Galloway,2018-19,25.60655958,381,148790
Real,ECON05,Dumfries & Galloway,2019-20,26.73653097,398,148860
Real,ECON05,Dumfries & Galloway,2020-21,17.26347023,256,148290
Real,ECON05,Dumfries & Galloway,2021-22,26.88352712,400,148790
Real,ECON05,Dumfries & Galloway,2022-23,26.8163183,399,148790
Real,ECON05,Dumfries & Galloway,2023-24,6.788090597,101,148790
Real,ECON05,Dundee City,2014-15,19.44238169,288,148130
Real,ECON05,Dundee City,2015-16,19.63430268,291,148210
Real,ECON05,Dundee City,2016-17,16.99602077,252,148270
Real,ECON05,Dundee City,2017-18,17.14746823,255,148710
Real,ECON05,Dundee City,2018-19,21.37815126,318,148750
Real,ECON05,Dundee City,2019-20,17.21135816,257,149320
Real,ECON05,Dundee City,2020-21,17.00040317,253,148820
Real,ECON05,Dundee City,2021-22,16.17925806,239,147720
Real,ECON05,Dundee City,2022-23,14.75764961,218,147720
Real,ECON05,Dundee City,2023-24,10.42512862,154,147720
Real,ECON05,East Ayrshire,2014-15,19.81495128,242,122130
Real,ECON05,East Ayrshire,2015-16,12.12518434,148,122060
